m_val,a_val,dC_dr
-1.90453,14.7929,-0.00705827
-1.8484,14.7929,-0.00612341
-1.7737,14.7929,-0.00471434
-1.67779,14.7929,-0.00384745
-1.55801,14.7929,-0.00308077
-1.41171,14.7929,-0.00245732
-1.23624,14.7929,-0.00170272
-1.02894,14.7929,-0.0013036
-0.787172,14.7929,-0.000949882
-0.508275,14.7929,-0.000630029
-0.189598,14.7929,-0.000335464
0.17151,14.7929,-5.96362e-05
0.577701,14.7929,0.00020245
1.03163,14.7929,0.000454642
1.53594,14.7929,0.000700368
2.09329,14.7929,0.000942506
2.70634,14.7929,0.00118348
3.37773,14.7929,0.00142537
4.11011,14.7929,0.00166996
4.90614,14.7929,0.00191883
5.76846,14.7929,0.00217339
6.69974,14.7929,0.00243488
7.70262,14.7929,0.00270445
8.77976,14.7929,0.00298314
9.9338,14.7929,0.00327191
11.1674,14.7929,0.00357168
12.4832,14.7929,0.00388329
13.8839,14.7929,0.00420757
15.3721,14.7929,0.00454528
16.9504,14.7929,0.00489718
18.6216,14.7929,0.00526401
20.3883,14.7929,0.00564646
22.253,14.7929,0.00604524
24.2186,14.7929,0.00646103
26.2875,14.7929,0.00689452
28.4626,14.7929,0.00734637
30.7464,14.7929,0.00781724
33.1415,14.7929,0.00830779
35.6507,14.7929,0.00881867
38.2766,14.7929,0.00935055
41.0218,14.7929,0.00990405
43.889,14.7929,0.0104798
46.8809,14.7929,0.0110785
50,14.7929,0.0117008
-2,16.831,0
-1.99956,16.831,0
-1.99646,16.831,0
-1.98807,16.831,0
-1.97171,16.831,-0.0110768
-1.94475,16.831,-0.0104218
-1.90453,16.831,-0.00705827
-1.8484,16.831,-0.00612341
-1.7737,16.831,-0.00471434
-1.67779,16.831,-0.00384745
-1.55801,16.831,-0.00308077
-1.41171,16.831,-0.00245732
-1.23624,16.831,-0.00170272
-1.02894,16.831,-0.0013036
-0.787172,16.831,-0.000949882
-0.508275,16.831,-0.000630029
-0.189598,16.831,-0.000335464
0.17151,16.831,-5.96362e-05
0.577701,16.831,0.00020245
1.03163,16.831,0.000454642
1.53594,16.831,0.000700368
2.09329,16.831,0.000942506
2.70634,16.831,0.00118348
3.37773,16.831,0.00142537
4.11011,16.831,0.00166996
4.90614,16.831,0.00191883
5.76846,16.831,0.00217339
6.69974,16.831,0.00243488
7.70262,16.831,0.00270445
8.77976,16.831,0.00298314
9.9338,16.831,0.00327191
11.1674,16.831,0.00357168
12.4832,16.831,0.00388329
13.8839,16.831,0.00420757
15.3721,16.831,0.00454528
16.9504,16.831,0.00489718
18.6216,16.831,0.00526401
20.3883,16.831,0.00564646
22.253,16.831,0.00604524
24.2186,16.831,0.00646103
26.2875,16.831,0.00689452
28.4626,16.831,0.00734637
30.7464,16.831,0.00781724
33.1415,16.831,0.00830779
35.6507,16.831,0.00881867
38.2766,16.831,0.00935055
41.0218,16.831,0.00990405
43.889,16.831,0.0104798
